munisid,muni_name,autonomia,province,adj_impact,gdppc,religious,c_secondplus,trust2,log_pop,age,class_upper,civil_married,longitude,latitude,dist_river,dist_sea
19,Albero Bajo,2,22,0.008547008968889713,20071.470703125,NA,0.5,NA,4.804020881652832,NA,NA,NA,-0.3820066452026367,42.02596664428711,74.29656982421875,210.64918518066406
20,Almócita,1,4,0.025641025975346565,18937.521484375,NA,0.2563999891281128,NA,5.1179938316345215,NA,NA,NA,-2.802105665206909,36.964393615722656,126.20420837402344,32.42146301269531
21,Fuentebureba,8,9,0,20670.51171875,NA,0.41269999742507935,NA,3.828641414642334,NA,NA,NA,-3.2367947101593018,42.630916595458984,19.740821838378906,107.73013305664062
22,Alsodux,1,4,0.012820512987673283,19123.693359375,NA,0.3942999839782715,NA,4.875197410583496,NA,NA,NA,-2.589576482772827,37.02482986450195,123.88848876953125,28.685911178588867
23,Armuña de Almanzora,1,4,0,20643.62890625,1.2857142686843872,0.40080001950263977,0.7694737911224365,5.8051347732543945,48,0.1428571492433548,0.5714285969734192,-2.4161410331726074,37.35664749145508,93.47374725341797,70.70964813232422
24,Urrea de Gaén,2,44,0.10256410390138626,18850.2421875,NA,0.3384000062942505,NA,6.202535629272461,NA,NA,NA,-0.4863136112689972,41.16434097290039,19.72560691833496,142.25643920898438
25,Antas,1,4,0,17724.73828125,1.25,0.630299985408783,-0.6270492076873779,8.058643341064453,45.599998474121094,0.03333333507180214,0.5625,-1.9535846710205078,37.253353118896484,130.7581787109375,17.26163673400879
26,Bacares,1,4,0,18577.703125,NA,0.31859999895095825,NA,5.587248802185059,NA,NA,NA,-2.4769327640533447,37.252037048339844,101.04178619384766,57.65250778198242
27,Arboleas,1,4,0.012820512987673283,17272.033203125,NA,0.4161999821662903,NA,8.4548921585083,NA,NA,NA,-2.084054470062256,37.35309982299805,120.6974105834961,36.38019943237305
28,Pueyo de Santa Cruz,2,22,0.008547008968889713,19736.6953125,NA,0.41830000281333923,NA,5.82304573059082,NA,NA,NA,0.16035030782222748,41.85269546508789,65.9812240600586,151.38343811035156
29,Bayárcal,1,4,0.025641025975346565,18392.373046875,NA,0.3109999895095825,NA,5.828945636749268,NA,NA,NA,-2.9946200847625732,37.05519485473633,112.24154663085938,42.719356536865234
30,Dalías,1,4,0.05128205195069313,17399.400390625,NA,0.3824999928474426,NA,8.288785934448242,NA,NA,NA,-2.8231141567230225,36.8485107421875,141.82081604003906,17.318119049072266
31,Enix,1,4,0,19534.47265625,NA,0.5782999992370605,NA,6.086774826049805,NA,NA,NA,-2.596511125564575,36.87563705444336,143.28262329101562,9.034793853759766
